"id","title","description","image_url","project_url","repo_url","tags","featured"
"1","WiFi Billing Management System","A comprehensive billing and management system for WiFi services. Automated billing calculations, customer management, and real-time usage tracking.","https://images.unsplash.com/photo-1551288049-bebda4e38f71?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","#","[""PHP"",""MySQL"",""JavaScript"",""Bootstrap""]","true"
"2","Supermarket POS System","Full-featured Point of Sale system for retail management. Handles transactions, inventory tracking, sales reports, and customer management with an intuitive interface.","https://images.unsplash.com/photo-1556740738-b6a63e27c4df?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","#","[""Python"",""Django"",""PostgreSQL"",""JavaScript""]","true"
"3","Kenyan Phishing Detector","Web security tool that detects and warns users about phishing websites targeting Kenyan users. Uses pattern recognition and machine learning techniques.","https://images.unsplash.com/photo-1563206766-5b64e2b84a71?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","#","[""Python"",""BeautifulSoup"",""JavaScript"",""Security""]","false"
"4","E-Commerce Platform","Complete e-commerce solution featuring product catalog, shopping cart, order management, and payment integration for online retail businesses.","https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","#","[""PHP"",""MySQL"",""JavaScript"",""Bootstrap""]","false"
"5","Chess Analysis Pro","Production-grade chess analysis tool: sync Chess.com games, analyze with Stockfish, opening explorer and training workflows.","https://images.unsplash.com/photo-1517694712202-14dd9538aa97?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/Chess-analysis-pro","[""Python"",""Stockfish"",""FastAPI"",""React""]","true"
"6","Kenyan Phishing Detector","AI-powered system to detect and explain localized phishing attempts (SMS, WhatsApp, email) targeting Kenyan users with a tailored dataset and model.","https://images.unsplash.com/photo-1563206766-5b64e2b84a71?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/Kenyan-Phishing-Detector","[""Python"",""NLP"",""Security"",""FastAPI""]","true"
"7","ShopHub (E-Commerce)","Full-featured e-commerce platform with cart, checkout, PayPal and M-PESA integrations and an admin dashboard for product and order management.","https://images.unsplash.com/photo-1519389950473-47ba0277781c?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/ShopHub","[""PHP"",""MySQL"",""Bootstrap"",""Payments""]","true"
"8","WiFi Billing System","Hotspot billing and management with M-Pesa reconciliation, RouterOS integration, cron reconciliation, and a web admin portal.","https://images.unsplash.com/photo-1518770660439-4636190af475?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","https://wifi-billing-system-alpha.vercel.app","https://github.com/MosesCodeX-CS/wifi-billing-system","[""PHP"",""MPESA"",""RouterOS"",""Billing""]","true"
"9","Supermarket POS","Django-based point-of-sale system featuring inventory, accounts, sales reports and multi-role user support for admin and cashier workflows.","https://images.unsplash.com/photo-1581090462270-3c8be55b7f31?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/Supermarket_POS","[""Python"",""Django"",""POS"",""Inventory""]","false"
"10","Prime Nova","Production-ready Next.js website template with App Router, auth, blog system, and deployment-ready configuration for Vercel.","https://images.unsplash.com/photo-1498050108023-c5249f4df085?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/Prime-Nova","[""Next.js"",""TypeScript"",""Vercel"",""Tailwind""]","false"
"11","Ecommerce Page","A simple but complete PHP/MySQL e-commerce site with product listings, cart, checkout and admin features designed for teaching and demos.","https://images.unsplash.com/photo-1519389950473-47ba0277781c?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/Ecommerce_Page","[""PHP"",""MySQL"",""Bootstrap"",""Demo""]","false"
"12","Portfolio Page","A smaller experimental portfolio site and research notes repository used to prototype ideas and design experiments for personal branding.","https://images.unsplash.com/photo-1520975914249-0c68a47a8686?ixlib=rb-4.0.3&auto=format&fit=crop&w=2400&q=80","#","https://github.com/MosesCodeX-CS/Portfolio-page","[""JavaScript"",""Portfolio"",""Design""]","false"